tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
320323745,990,500,500
405902579,991,500,500
159210154,992,500,500
295798308,993,500,500
137833304,994,500,500
229943561,995,500,500
388566007,996,500,500
276832928,997,500,500
148909368,998,500,500
144143255,999,500,500
408094501,1000,500,500
